Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Pos1,Pos2
172,Oussama El Azzouzi,MAR,Bologna,Serie A,22.0,2001.0,18,5,547,6.1,2,2,4,2,0,0,4,0,0.5,0.5,0.6,1.0,4.0,19.0,8.0,0.33,0.33,0.66,0.33,0.66,0.08,0.09,0.17,0.08,0.17,MF,
173,Abdellah Baallal,MAR,Clermont Foot,Ligue 1,18.0,2004.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,
174,Iddrisu Baba,GHA,Almería,La Liga,27.0,1996.0,25,14,1430,15.9,0,0,0,0,0,0,5,0,0.7,0.7,0.6,1.3,1.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,MF,
175,Srđan Babić,SRB,Almería,La Liga,27.0,1996.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,DF,
176,Shavy Babicka,GAB,Toulouse,Ligue 1,23.0,2000.0,12,4,373,4.1,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,17.0,8.0,64.0,0.24,0.0,0.24,0.24,0.24,0.14,0.03,0.17,0.14,0.17,FW,MF
177,Loïc Bade,FRA,Sevilla,La Liga,23.0,2000.0,28,27,2277,25.3,0,1,1,0,0,0,5,1,0.9,0.9,0.5,1.3,15.0,76.0,3.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.05,0.04,0.05,DF,
178,Milan Badelj,CRO,Genoa,Serie A,34.0,1989.0,33,32,2535,28.2,1,3,4,1,0,0,6,0,1.4,1.4,1.1,2.5,18.0,151.0,36.0,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09,MF,
179,Matthias Bader,GER,Darmstadt 98,Bundesliga,26.0,1997.0,24,21,1802,20.0,1,2,3,1,0,0,1,0,0.7,0.7,2.3,3.0,38.0,67.0,66.0,0.05,0.1,0.15,0.05,0.15,0.04,0.12,0.15,0.04,0.15,DF,MF
180,Benoît Badiashile,FRA,Chelsea,Premier League,22.0,2001.0,18,15,1338,14.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,3.0,46.0,3.0,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,DF,
181,Alex Baena,ESP,Villarreal,La Liga,22.0,2001.0,34,33,2579,28.7,2,14,16,2,0,1,11,1,7.9,7.1,9.2,16.3,84.0,165.0,181.0,0.07,0.49,0.56,0.07,0.56,0.27,0.32,0.6,0.25,0.57,MF,FW
182,Jaime Báez,URU,Frosinone,Serie A,28.0,1995.0,11,6,500,5.6,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12.0,29.0,39.0,0.18,0.0,0.18,0.18,0.18,0.08,0.1,0.18,0.08,0.18,FW,MF
183,Nicola Bagnolini,ITA,Bologna,Serie A,19.0,2004.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
184,Leon Bailey,JAM,Aston Villa,Premier League,25.0,1997.0,35,22,2068,23.0,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,102.0,82.0,226.0,0.44,0.39,0.83,0.44,0.83,0.27,0.4,0.67,0.27,0.67,MF,FW
185,Eric Bailly,CIV,Villarreal,La Liga,29.0,1994.0,10,9,839,9.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,DF,
186,Stefan Bajcetic,ESP,Liverpool,Premier League,18.0,2004.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,
187,Nedim Bajrami,ALB,Sassuolo,Serie A,24.0,1999.0,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,MF,FW
188,Cédric Bakambu,COD,Betis,La Liga,32.0,1991.0,4,2,194,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.33,0.2,0.33,FW,
189,Tiemoué Bakayoko,FRA,Lorient,Ligue 1,28.0,1994.0,20,15,1314,14.6,2,1,3,2,0,0,5,0,1.7,1.7,0.5,2.2,14.0,54.0,15.0,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15,MF,
190,Mitchel Bakker,NED,Atalanta,Serie A,23.0,2000.0,14,3,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12.0,10.0,20.0,0.24,0.0,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08,DF,
191,Ridle Baku,GER,Wolfsburg,Bundesliga,25.0,1998.0,33,22,2013,22.4,1,0,1,1,0,0,4,0,1.8,1.8,3.0,4.8,37.0,85.0,130.0,0.04,0.0,0.04,0.04,0.04,0.08,0.13,0.21,0.08,0.21,DF,MF
192,Dilane Bakwa,FRA,Strasbourg,Ligue 1,20.0,2002.0,31,25,2177,24.2,3,6,9,3,0,0,4,1,3.2,3.2,6.2,9.4,94.0,92.0,204.0,0.12,0.25,0.37,0.12,0.37,0.13,0.26,0.39,0.13,0.39,FW,MF
193,Tommaso Baldanzi,ITA,Empoli,Serie A,20.0,2003.0,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20.0,30.0,40.0,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,MF,FW
194,Tommaso Baldanzi,ITA,Roma,Serie A,20.0,2003.0,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27,0.15,0.27,FW,MF
195,Alejandro Balde,ESP,Barcelona,La Liga,19.0,2003.0,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,DF,
196,Aliou Baldé,GUI,Nice,Ligue 1,20.0,2002.0,7,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,FW,DF
197,George Baldock,GRE,Sheffield Utd,Premier League,30.0,1993.0,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.0,0.8,0.8,9.0,31.0,24.0,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.08,0.0,0.08,DF,
198,Carlos Baleba,CMR,Brighton,Premier League,19.0,2004.0,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,MF,
199,Carlos Baleba,CMR,Lille,Ligue 1,19.0,2004.0,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,MF,
200,Leonardo Balerdi,ARG,Marseille,Ligue 1,24.0,1999.0,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.0,19.0,122.0,6.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,DF,
201,Iván Balliu,ALB,Rayo Vallecano,La Liga,31.0,1992.0,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.7,0.7,2.6,3.3,50.0,98.0,100.0,0.0,0.03,0.03,0.0,0.03,0.02,0.08,0.1,0.02,0.1,DF,
202,Fodé Ballo-Touré,SEN,Fulham,Premier League,26.0,1997.0,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,MF
203,Folarin Balogun,USA,Monaco,Ligue 1,22.0,2001.0,29,19,1692,18.8,7,5,12,7,0,3,1,0,11.0,8.5,3.3,11.8,35.0,30.0,199.0,0.37,0.27,0.64,0.37,0.64,0.59,0.18,0.76,0.45,0.63,FW,
204,Jonathan Bamba,CIV,Celta Vigo,La Liga,27.0,1996.0,27,24,1981,22.0,3,2,5,3,0,0,0,0,3.0,3.0,4.7,7.7,107.0,80.0,169.0,0.14,0.09,0.23,0.14,0.23,0.14,0.21,0.35,0.14,0.35,MF,FW
205,Mohamed Bamba,CIV,Lorient,Ligue 1,21.0,2001.0,16,14,1138,12.6,8,3,11,7,1,1,3,0,6.4,5.6,2.1,7.7,25.0,16.0,69.0,0.63,0.24,0.87,0.55,0.79,0.51,0.16,0.67,0.44,0.61,FW,
206,Samuel Bamba,GER,Dortmund,Bundesliga,19.0,2004.0,2,0,47,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.51,0.15,0.67,0.51,0.67,FW,
207,Lameck Banda,ZAM,Lecce,Serie A,22.0,2001.0,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,70.0,22.0,136.0,0.13,0.27,0.4,0.13,0.4,0.24,0.13,0.37,0.24,0.37,FW,
